ID		Verb form		Freq	Aspect	Prefix	Suffix	Base
1		adresirati		1		0		NO		NO		0
2		amputirati		1		0		NO		NO		0
3		analizirati		1		0		NO		NO		0
4		apsorbovati		2		0		NO		NO		0
5		argatovati		1		I		NO		NO		0
6		arhivirati		0		0		NO		NO		0
7		prearhivirati	2		0		YES		NO		6
8		asimilirati		1		0		NO		NO		0
9		avanzovati		1		0		NO		NO		0
10		ažurirati		2		0		NO		NO		0
11		baciti			37		P		NO		NO		0
12		bacati			3		I		NO		YES		11
13		bacakati		1		I		NO		YES		11
14		dobaciti		2		P		YES		NO		11
15		izbaciti		16		P		YES		NO		11
16		izbacivati		5		I		YES		YES		11
17		odbaciti		9		P		YES		NO		11
18		odbacivati		2		I		YES		YES		11
19		prebaciti		3		P		YES		NO		11
20		ubaciti			6		P		YES		NO		11
21		ubacivati		3		I		YES		YES		11
22		zabaciti		1		P		YES		NO		11
23		zabacivati		1		I		YES		YES		11
24		zbaciti			3		P		YES		NO		11
25		zbacivati		1		I		YES		YES		11
26		batinati		1		I		NO		NO		0
27		baviti			14		I		NO		NO		0
28		nabaviti		4		P		YES		NO		27
29		zabavljati		2		I		YES		YES		27
30		bdeti			1		I		NO		NO		0
31		bediti			0		I		NO		NO		0
32		ubediti			2		P		YES		NO		31
33		ubeđivati		2		I		YES		YES		31
34		beleti			0		I		NO		NO		0
35		pobeleti		1		P		YES		NO		34
36		beležiti		0		I		NO		NO		0
37		obeležiti		1		P		YES		NO		36
38		zabeležiti		2		P		YES		NO		36
39		besiti			0		I		NO		NO		0
40		obesiti			2		P		YES		NO		39
41		bezbediti		0		I		NO		NO		0
42		obezbediti		1		P		YES		NO		41
43		bežati			1		I		NO		NO		0
44		izbegnuti		10		P		YES		NO		43
45		izbegavati		2		I		YES		YES		43
46		pobeći			6		P		YES		NO		43
47		birati			2		I		NO		NO		0
48		izabrati		2		P		YES		NO		47
49		odabrati		1		P		YES		NO		47
50		biti			1989	I		NO		NO		0
51		bivati			11		I		YES		YES		50
52		dobiti			30		P		YES		NO		50
53		dobijati		9		I		YES		YES		50
54		izbiti			7		P		YES		NO		50
55		izbijati		4		I		YES		YES		50
56		nabiti			1		P		YES		NO		50
57		odbiti			6		P		YES		NO		50
58		odbijati		9		I		YES		YES		50
59		pobiti			1		P		YES		NO		50
60		pobijati		2		I		YES		YES		50
61		prebiti			4		P		YES		NO		50
62		prebijati		2		I		YES		YES		50
63		pribiti			2		P		YES		NO		50
64		probijati		9		I		YES		YES		50
65		razbiti			10		P		YES		NO		50
66		razbijati		2		I		YES		YES		50
67		ubiti			22		P		YES		NO		50
68		ubijati			6		I		YES		YES		50
69		zbiti			4		P		YES		NO		50
70		bičevati		2		I		NO		NO		0
71		blažiti			0		I		NO		NO		0
72		ublažiti		2		P		YES		NO		71
73		ublažavati		1		I		YES		YES		71
74		blebetati		2		I		NO		NO		0
75		bledeti			4		I		NO		NO		0
76		izbledeti		2		P		YES		NO		75
77		pobledeti		1		P		YES		NO		75
78		ubledeti		1		P		YES		NO		75
79		blistati		1		I		NO		NO		0
80		bližiti			0		I		NO		NO		0
81		približiti		13		P		YES		NO		80
82		približavati	16		I		YES		YES		80
83		bodriti			1		I		NO		NO		0
84		obodriti		1		P		YES		NO		83
85		bojati			9		I		NO		NO		0
86		bojiti			0		I		NO		NO		0
87		obojiti			3		P		YES		NO		86
88		boleti			4		I		NO		NO		0
89		zaboleti		1		P		YES		NO		88
90		bombardovati	1		0		NO		NO		0
91		borati			0		I		NO		NO		0
92		izborati		1		P		YES		NO		91
93		boraviti		0		I		NO		NO		0
94		zaboraviti		39		P		YES		NO		93
95		zaboravljati	4		I		YES		YES		93
96		boriti			24		I		NO		NO		0
97		oboriti			6		P		YES		NO		96
98		obarati			1		I		YES		YES		96
99		bosti			1		I		NO		NO		0
100		zabosti			2		P		YES		NO		99
101		zabadati		2		I		YES		YES		99
102		braniti			6		I		NO		NO		0
103		zabraniti		5		P		YES		NO		102
104		zabranjivati	2		I		YES		YES		102
105		brati			2		I		NO		NO		0
106		pribrati		2		P		YES		NO		105
107		razabrati		4		P		YES		NO		105
108		ubrati			1		P		YES		NO		105
109		brazditi		0		I		NO		NO		0
110		zabrazditi		1		P		YES		NO		109
111		brijati			2		I		NO		NO		0
112		obrijati		1		P		YES		NO		111
113		brinuti			4		I		NO		NO		0
114		brisati			4		I		NO		NO		0
115		izbrisati		5		P		YES		NO		114
116		obrisati		1		P		YES		NO		114
117		zbrisati		3		P		YES		NO		114
118		briznuti		1		P		NO		YES		0
119		brojati			0		I		NO		NO		0
120		izbrojati		3		P		YES		NO		119
121		nabrajati		1		I		YES		YES		119
122		brstiti			0		I		NO		NO		0
123		obrstiti		1		P		YES		NO		122
124		brzati			0		I		NO		NO		0
125		ubrzati			1		P		YES		NO		124
126		buditi			5		I		NO		NO		0
127		probuditi		17		P		YES		NO		126
128		uzbuditi		2		P		YES		NO		126
129		bujati			0		I		NO		NO		0
130		nabujati		1		P		YES		NO		129
131		buljiti			2		I		NO		NO		0
132		buncati			1		I		NO		NO		0
133		buniti			4		I		NO		NO		0
134		pobuniti		6		P		YES		NO		133
135		uzbuniti		1		P		YES		NO		133
136		zbunjivati		2		I		YES		YES		133
137		bučati			1		I		NO		NO		0
138		bušiti			0		I		NO		NO		0
139		probušiti		1		P		YES		NO		138
140		cediti			7		I		NO		NO		0
141		iscediti		6		P		YES		NO		140
142		celivati		1		I		NO		NO		0
143		ceniti			0		I		NO		NO		0
144		oceniti			5		P		YES		NO		143
145		proceniti		1		P		YES		NO		143
146		procenjivati	2		I		YES		YES		143
147		ucenjivati		1		I		YES		YES		143
148		centralizovati	1		0		NO		NO		0
149		cenzurisati		1		0		NO		NO		0
150		cepati			2		I		NO		NO		0
151		iscepkati		1		P		YES		NO		150
152		otcepiti		2		P		YES		NO		150
153		cik				0		I		NO		NO		0
154		potcikivati		1		I		YES		YES		153
155		citirati		1		0		NO		NO		0
156		cmizdriti		1		I		NO		NO		0
157		cmoljiti		0		I		NO		NO		0
158		zacmoljiti		1		P		YES		NO		157
159		coknuti			1		I		NO		NO		0
160		crneti			0		I		NO		NO		0
161		pocrneti		1		P		YES		NO		160
162		crpeti			0		I		NO		NO		0
163		iscrpljivati	3		I		YES		YES		162
164		crtati			2		I		NO		NO		0
165		nacrtati		1		P		YES		NO		164
166		precrtati		1		P		YES		NO		164
167		precrtavati		1		I		YES		YES		164
168		crveneti		0		I		NO		NO		0
169		pocrveneti		1		P		YES		NO		168
170		curiti			1		I		NO		NO		0
171		pocuriti		1		P		YES		NO		170
172		procuriti		1		P		YES		NO		170
173		cvetati			1		I		NO		NO		0
174		rascvetati		1		P		YES		NO		173
175		cvileti			3		I		NO		NO		0
176		cviliti			2		I		NO		NO		0
177		cvokotati		2		I		NO		YES		0	***
178		dahnuti			1		I		NO		YES		0	***
